source,target,weight
94.27.155.161,108.159.169.177,1.22E-06
52.158.41.198,108.159.169.177,1.76E-06
213.127.182.113,108.159.169.177,1.13E-06
36.148.209.78,108.159.169.177,1.92E-06
137.70.151.153,108.159.169.177,1.86E-06
25.21.117.236,108.159.169.177,1.92E-06
60.103.185.72,108.159.169.177,1.30E-06
103.112.234.198,108.159.169.177,1.92E-06
245.201.131.129,108.159.169.177,1.02E-06
178.240.200.244,108.159.169.177,1.25E-06
56.91.126.1,108.159.169.177,1.27E-06
226.106.38.91,108.159.169.177,1.01E-06
94.107.123.220,108.159.169.177,1.93E-06
210.186.6.110,108.159.169.177,1.94E-06
145.226.173.87,108.159.169.177,1.54E-06
204.248.200.1,108.159.169.177,1.60E-06
10.173.142.87,108.159.169.177,1.98E-06
104.244.219.120,108.159.169.177,1.15E-06
1.157.77.246,108.159.169.177,1.81E-06
167.232.39.154,108.159.169.177,1.68E-06
91.246.79.115,108.159.169.177,1.38E-06
129.45.113.41,108.159.169.177,1.58E-06
173.179.90.12,108.159.169.177,1.44E-06
136.108.77.187,108.159.169.177,1.10E-06
61.97.93.28,108.159.169.177,1.17E-06
233.38.203.112,108.159.169.177,1.34E-06
127.227.95.163,108.159.169.177,1.06E-06
239.188.201.216,108.159.169.177,1.60E-06
46.39.62.86,108.159.169.177,1.38E-06
181.140.129.127,108.159.169.177,1.75E-06
139.219.203.250,108.159.169.177,1.45E-06
253.5.77.74,108.159.169.177,1.47E-06
184.249.135.99,108.159.169.177,1.68E-06
127.59.40.119,108.159.169.177,1.54E-06
250.213.230.110,108.159.169.177,1.14E-06
185.181.57.178,108.159.169.177,1.83E-06
79.208.222.251,108.159.169.177,1.89E-06
5.242.212.3,108.159.169.177,1.89E-06
249.22.131.93,108.159.169.177,1.53E-06
243.44.36.155,108.159.169.177,1.79E-06
26.20.15.89,108.159.169.177,1.66E-06
207.124.102.214,108.159.169.177,1.79E-06
9.20.71.190,108.159.169.177,1.81E-06
131.148.34.241,108.159.169.177,1.83E-06
48.244.175.58,108.159.169.177,1.99E-06
169.206.36.91,108.159.169.177,1.46E-06
175.234.160.199,108.159.169.177,1.43E-06
246.197.38.114,108.159.169.177,1.38E-06
48.224.97.252,108.159.169.177,1.34E-06
207.239.18.186,108.159.169.177,1.32E-06
240.113.211.104,108.159.169.177,1.67E-06
8.46.60.150,108.159.169.177,1.76E-06
167.69.163.170,108.159.169.177,1.92E-06
155.93.198.196,108.159.169.177,1.05E-06
245.221.157.218,108.159.169.177,1.16E-06
116.127.54.31,108.159.169.177,1.09E-06
50.214.144.99,108.159.169.177,1.51E-06
158.88.52.155,108.159.169.177,1.90E-06
121.213.0.175,108.159.169.177,1.96E-06
146.107.207.74,108.159.169.177,1.35E-06
243.83.192.3,108.159.169.177,1.60E-06
10.51.183.72,108.159.169.177,1.98E-06
24.19.21.30,108.159.169.177,1.18E-06
126.61.29.198,108.159.169.177,1.34E-06
211.37.91.186,108.159.169.177,1.98E-06
247.20.210.217,108.159.169.177,1.24E-06
66.153.108.247,108.159.169.177,1.56E-06
145.141.54.20,108.159.169.177,1.25E-06
186.11.121.255,108.159.169.177,1.06E-06
24.83.11.20,108.159.169.177,1.83E-06
69.218.148.178,108.159.169.177,1.18E-06
62.214.35.43,108.159.169.177,1.04E-06
213.174.54.58,108.159.169.177,1.23E-06
190.50.76.73,108.159.169.177,1.82E-06
237.224.112.37,108.159.169.177,1.76E-06
37.123.233.162,108.159.169.177,1.12E-06
70.100.13.132,108.159.169.177,1.34E-06
46.163.61.106,108.159.169.177,1.96E-06
168.231.233.55,108.159.169.177,1.01E-06
211.75.174.8,108.159.169.177,1.77E-06
188.198.153.57,108.159.169.177,1.02E-06
202.9.4.10,108.159.169.177,1.33E-06
7.34.166.48,108.159.169.177,1.06E-06
4.197.154.196,108.159.169.177,1.75E-06
240.221.124.232,108.159.169.177,1.57E-06
34.194.175.101,108.159.169.177,1.08E-06
150.33.224.46,108.159.169.177,1.26E-06
67.13.66.8,108.159.169.177,1.93E-06
188.42.3.151,108.159.169.177,1.23E-06
100.31.96.158,108.159.169.177,1.32E-06
155.9.204.116,108.159.169.177,1.05E-06
182.219.73.160,108.159.169.177,1.61E-06
63.45.66.216,108.159.169.177,1.28E-06
114.252.94.166,108.159.169.177,1.53E-06
113.170.106.1,108.159.169.177,1.34E-06
231.90.150.53,108.159.169.177,1.11E-06
243.72.45.151,108.159.169.177,1.26E-06
222.168.23.165,108.159.169.177,1.93E-06
123.184.221.240,108.159.169.177,1.74E-06
55.48.11.89,108.159.169.177,1.43E-06
80.232.176.156,108.159.169.177,1.69E-06
242.56.195.32,108.159.169.177,1.04E-06
215.222.170.8,108.159.169.177,1.80E-06
253.145.136.245,108.159.169.177,1.09E-06
55.73.9.221,108.159.169.177,1.57E-06
72.109.12.230,108.159.169.177,1.01E-06
93.254.158.86,108.159.169.177,1.97E-06
172.205.181.172,108.159.169.177,1.37E-06
150.95.156.250,108.159.169.177,1.93E-06
49.33.85.140,108.159.169.177,1.59E-06
217.83.127.98,108.159.169.177,1.25E-06
237.24.121.26,108.159.169.177,1.76E-06
8.62.181.119,108.159.169.177,1.49E-06
68.167.74.212,108.159.169.177,1.32E-06
40.162.125.133,108.159.169.177,1.28E-06
