source,target,weight,type
侯亮平,沙瑞金,22,undirected
侯亮平,李达康,18,undirected
侯亮平,陆亦可,46,undirected
侯亮平,高育良,66,undirected
侯亮平,祁同伟,47,undirected
侯亮平,季昌明,37,undirected
侯亮平,赵东来,22,undirected
侯亮平,赵瑞龙,18,undirected
侯亮平,钟小艾,23,undirected
侯亮平,吴惠芬,14,undirected
侯亮平,丁义珍,24,undirected
侯亮平,田国富,8,undirected
侯亮平,陈岩石,19,undirected
侯亮平,王馥真,2,undirected
侯亮平,刘新建,27,undirected
侯亮平,蔡成功,42,undirected
侯亮平,程度,3,undirected
侯亮平,陈海,39,undirected
侯亮平,肖钢玉,12,undirected
侯亮平,陈清泉,2,undirected
侯亮平,郑西坡,3,undirected
侯亮平,赵德汉,10,undirected
侯亮平,欧阳菁,16,undirected
侯亮平,梁璐,4,undirected
侯亮平,林华华,12,undirected
侯亮平,周正,3,undirected
侯亮平,张宝宝,1,undirected
侯亮平,吴心仪,3,undirected
侯亮平,陈群芳,4,undirected
侯亮平,吕梁,14,undirected
侯亮平,王经理,3,undirected
侯亮平,秦思远,4,undirected
侯亮平,侯浩然,8,undirected
侯亮平,小皮球,12,undirected
侯亮平,魏彩霞,3,undirected
侯亮平,尤瑞星,7,undirected
侯亮平,陈文强,1,undirected
侯亮平,花斑虎,1,undirected
侯亮平,杜伯仲,2,undirected
侯亮平,丁秀萍,1,undirected
侯亮平,司机小钱,2,undirected
侯亮平,赵德汉妻,1,undirected
沙瑞金,侯亮平,22,undirected
沙瑞金,李达康,31,undirected
沙瑞金,陆亦可,1,undirected
沙瑞金,高育良,20,undirected
沙瑞金,祁同伟,16,undirected
沙瑞金,季昌明,10,undirected
沙瑞金,赵东来,3,undirected
沙瑞金,赵瑞龙,13,undirected
沙瑞金,钟小艾,1,undirected
沙瑞金,易学习,16,undirected
沙瑞金,孙连城,2,undirected
沙瑞金,丁义珍,5,undirected
沙瑞金,田国富,18,undirected
沙瑞金,陈岩石,20,undirected
沙瑞金,王馥真,1,undirected
沙瑞金,刘新建,1,undirected
沙瑞金,蔡成功,3,undirected
沙瑞金,陈海,4,undirected
沙瑞金,郑西坡,3,undirected
沙瑞金,欧阳菁,3,undirected
沙瑞金,梁璐,1,undirected
沙瑞金,王大路,1,undirected
沙瑞金,王文革,2,undirected
沙瑞金,毛娅,3,undirected
沙瑞金,张树立,1,undirected
沙瑞金,吴春林,2,undirected
沙瑞金,汤成兰,1,undirected
沙瑞金,尤瑞星,1,undirected
李达康,侯亮平,18,undirected
李达康,沙瑞金,31,undirected
李达康,陆亦可,3,undirected
李达康,高育良,24,undirected
李达康,祁同伟,17,undirected
李达康,季昌明,6,undirected
李达康,赵东来,14,undirected
李达康,赵瑞龙,8,undirected
李达康,易学习,16,undirected
李达康,吴惠芬,2,undirected
李达康,孙连城,14,undirected
李达康,丁义珍,9,undirected
李达康,田国富,2,undirected
李达康,陈岩石,13,undirected
李达康,刘新建,2,undirected
李达康,蔡成功,13,undirected
李达康,程度,5,undirected
李达康,陈清泉,6,undirected
李达康,郑西坡,6,undirected
李达康,欧阳菁,31,undirected
李达康,王大路,11,undirected
李达康,孙海平,1,undirected
李达康,毛娅,2,undirected
李达康,张树立,1,undirected
李达康,钱秘书长,1,undirected
李达康,交警,1,undirected
陆亦可,侯亮平,46,undirected
陆亦可,沙瑞金,1,undirected
陆亦可,李达康,3,undirected
陆亦可,高育良,6,undirected
陆亦可,祁同伟,4,undirected
陆亦可,季昌明,12,undirected
陆亦可,赵东来,19,undirected
陆亦可,赵瑞龙,3,undirected
陆亦可,吴惠芬,1,undirected
陆亦可,丁义珍,8,undirected
陆亦可,田国富,1,undirected
陆亦可,陈岩石,5,undirected
陆亦可,刘新建,6,undirected
陆亦可,蔡成功,17,undirected
陆亦可,程度,2,undirected
陆亦可,陈海,20,undirected
陆亦可,肖钢玉,1,undirected
陆亦可,陈清泉,2,undirected
陆亦可,郑西坡,2,undirected
陆亦可,欧阳菁,7,undirected
陆亦可,林华华,13,undirected
陆亦可,周正,8,undirected
陆亦可,张宝宝,1,undirected
陆亦可,吴心仪,3,undirected
陆亦可,陈群芳,3,undirected
陆亦可,小皮球,3,undirected
陆亦可,魏彩霞,2,undirected
陆亦可,尤瑞星,5,undirected
陆亦可,司机小钱,1,undirected
高育良,侯亮平,66,undirected
高育良,沙瑞金,20,undirected
高育良,李达康,24,undirected
高育良,陆亦可,6,undirected
高育良,祁同伟,34,undirected
高育良,季昌明,12,undirected
高育良,赵东来,1,undirected
高育良,赵瑞龙,20,undirected
高育良,钟小艾,6,undirected
高育良,易学习,2,undirected
高育良,吴惠芬,24,undirected
高育良,孙连城,1,undirected
高育良,丁义珍,12,undirected
高育良,田国富,9,undirected
高育良,陈岩石,4,undirected
高育良,王馥真,1,undirected
高育良,刘新建,5,undirected
高育良,蔡成功,5,undirected
高育良,程度,1,undirected
高育良,陈海,6,undirected
高育良,肖钢玉,6,undirected
高育良,陈清泉,4,undirected
高育良,郑西坡,1,undirected
高育良,欧阳菁,1,undirected
高育良,梁璐,2,undirected
高育良,张宝宝,1,undirected
高育良,吕梁,1,undirected
高育良,张树立,1,undirected
高育良,吴春林,1,undirected
高育良,魏彩霞,2,undirected
高育良,杜伯仲,6,undirected
高育良,钱秘书长,3,undirected
祁同伟,侯亮平,47,undirected
祁同伟,沙瑞金,16,undirected
祁同伟,李达康,17,undirected
祁同伟,陆亦可,4,undirected
祁同伟,高育良,34,undirected
祁同伟,季昌明,3,undirected
祁同伟,赵东来,13,undirected
祁同伟,赵瑞龙,17,undirected
祁同伟,钟小艾,5,undirected
祁同伟,易学习,1,undirected
祁同伟,吴惠芬,6,undirected
祁同伟,丁义珍,13,undirected
祁同伟,田国富,7,undirected
祁同伟,陈岩石,6,undirected
祁同伟,刘新建,11,undirected
祁同伟,蔡成功,5,undirected
祁同伟,程度,7,undirected
祁同伟,陈海,4,undirected
祁同伟,肖钢玉,3,undirected
祁同伟,陈清泉,3,undirected
祁同伟,欧阳菁,1,undirected
祁同伟,梁璐,17,undirected
祁同伟,王文革,1,undirected
祁同伟,吴春林,2,undirected
祁同伟,常成虎,1,undirected
祁同伟,毕敬业,2,undirected
祁同伟,尤瑞星,1,undirected
祁同伟,花斑虎,1,undirected
祁同伟,蔡英俊,1,undirected
祁同伟,杜伯仲,2,undirected
祁同伟,钱秘书长,1,undirected
季昌明,侯亮平,37,undirected
季昌明,沙瑞金,10,undirected
季昌明,李达康,6,undirected
季昌明,陆亦可,12,undirected
季昌明,高育良,12,undirected
季昌明,祁同伟,3,undirected
季昌明,赵东来,2,undirected
季昌明,赵瑞龙,2,undirected
季昌明,钟小艾,3,undirected
季昌明,孙连城,1,undirected
季昌明,丁义珍,4,undirected
季昌明,田国富,1,undirected
季昌明,陈岩石,4,undirected
季昌明,刘新建,3,undirected
季昌明,蔡成功,10,undirected
季昌明,陈海,3,undirected
季昌明,肖钢玉,5,undirected
季昌明,欧阳菁,5,undirected
季昌明,林华华,1,undirected
季昌明,周正,1,undirected
季昌明,吴心仪,3,undirected
季昌明,陈群芳,2,undirected
季昌明,吕梁,3,undirected
季昌明,张树立,1,undirected
季昌明,尤瑞星,1,undirected
季昌明,花斑虎,1,undirected
季昌明,司机小钱,1,undirected
赵东来,侯亮平,22,undirected
赵东来,沙瑞金,3,undirected
赵东来,李达康,14,undirected
赵东来,陆亦可,19,undirected
赵东来,高育良,1,undirected
赵东来,祁同伟,13,undirected
赵东来,季昌明,2,undirected
赵东来,赵瑞龙,1,undirected
赵东来,丁义珍,6,undirected
赵东来,陈岩石,4,undirected
赵东来,刘新建,2,undirected
赵东来,蔡成功,15,undirected
赵东来,程度,5,undirected
赵东来,陈海,10,undirected
赵东来,肖钢玉,1,undirected
赵东来,陈清泉,4,undirected
赵东来,郑西坡,3,undirected
赵东来,欧阳菁,4,undirected
赵东来,林华华,2,undirected
赵东来,周正,1,undirected
赵东来,张宝宝,1,undirected
赵东来,王经理,2,undirected
赵东来,魏彩霞,2,undirected
赵东来,花斑虎,3,undirected
赵东来,钱队长,1,undirected
赵东来,交警,1,undirected
赵瑞龙,侯亮平,18,undirected
赵瑞龙,沙瑞金,13,undirected
赵瑞龙,李达康,8,undirected
赵瑞龙,陆亦可,3,undirected
赵瑞龙,高育良,20,undirected
赵瑞龙,祁同伟,17,undirected
赵瑞龙,季昌明,2,undirected
赵瑞龙,赵东来,1,undirected
赵瑞龙,易学习,3,undirected
赵瑞龙,吴惠芬,3,undirected
赵瑞龙,丁义珍,3,undirected
赵瑞龙,田国富,5,undirected
赵瑞龙,陈岩石,1,undirected
赵瑞龙,刘新建,19,undirected
赵瑞龙,蔡成功,1,undirected
赵瑞龙,程度,4,undirected
赵瑞龙,肖钢玉,2,undirected
赵瑞龙,陈清泉,1,undirected
赵瑞龙,欧阳菁,1,undirected
赵瑞龙,林华华,2,undirected
赵瑞龙,王文革,2,undirected
赵瑞龙,刘生,3,undirected
赵瑞龙,花斑虎,2,undirected
赵瑞龙,蔡英俊,1,undirected
赵瑞龙,杜伯仲,11,undirected
钟小艾,侯亮平,23,undirected
钟小艾,沙瑞金,1,undirected
钟小艾,高育良,6,undirected
钟小艾,祁同伟,5,undirected
钟小艾,季昌明,3,undirected
钟小艾,吴惠芬,2,undirected
钟小艾,陈岩石,1,undirected
钟小艾,陈海,3,undirected
钟小艾,梁璐,2,undirected
钟小艾,秦思远,1,undirected
钟小艾,侯浩然,5,undirected
易学习,沙瑞金,16,undirected
易学习,李达康,16,undirected
易学习,高育良,2,undirected
易学习,祁同伟,1,undirected
易学习,赵瑞龙,3,undirected
易学习,吴惠芬,1,undirected
易学习,丁义珍,1,undirected
易学习,田国富,8,undirected
易学习,欧阳菁,2,undirected
易学习,王大路,3,undirected
